Topics for Discussion,Discussant,Priority
website: people,BK & MB,now
"website: dashboards, onboarding, C-STAR",BK & MB,now
Labvantage freezer inventory,LLC & AP & DT,now
MIC-based strains & strain-tracking,BK & MZ,now
HCW contact quantification,MZ,NA
metagenomic MDIs,BK,now
COSMOS access process,MZ & BK & LC,later
Methods Manuscripts & Abstracts,NA,later
- PMT quantification,LLC,later
- TREASURE culturomics,MZ,later
- PMT donor stability,EW,later
- MUSIC sequence,AP,later
- saponin MIRA,EW,later
- MIRA antibiotics,BK & SP,later
